,text,gv_score
0,meet sasan faraj your student representative to the school board sasan faraj a senior at patriot high school is the 20182019 student representative to the pwcs school board the school board first created the student representative position for the 20172018 school year hylton alumna kate arnold was the first to serve in the role as a nonvoting member of the school board farajs position involves him attending and speaking for five minutes at each school board meeting he shares what hes heard from the students and the things he thinks should be addressed he personally visits each high school to attend a student council association meeting where he gives the students an open floor to express their grievances and explain what they think needs to be done when he applied he knew this position was about what the students wanted faraj speaking at pwcss excellence and equity in education conference faraj shared he wanted the position for the opportunity not for the college applications nor the title it gives him a chance to serve his community and learn different perspectives i love hearing from students and encouraging them to voice their opinions the students voices are an important aspect of our education said faraj students can email faraj at email protected to address any school or education issue outside of the position faraj is cocaptain of the debate team and president of the social studies honor society sshs at patriot,0.999874223437564
1,unconventional book draws attention to mental illness forgive me leonard peacock by matthew quick is a suspenseful novel that sheds a light on issues like depression and abuse in an unconventional but effective manner its leonard peacocks 18th birthday no blowout party no dinner with family his plan is to give presents to the only four people in his life that mean something to him kill his former best friend asher beal and then kill himself this book sounds morbid sure but it provides a unique insight into the psyche of someone who believes he has no other choice it is both chilling yet warm hopeless yet hopeful in a way that only matthew quick author of the silver linings playbook can capture the way leonard explains his thoughts and emotions makes me as the reader understand him more as a desperate individual rather than a twisted murderer leonard lives an unusual life his father is an exrock star who fled the country to avoid his taxes and enormous debt due to gambling and drugs his absent mother left him in new jersey to pursue her fashion career in manhattan with her french boyfriend only coming back to see her son on occasional weekends his favorite class is his holocaust class where his controversial opinions leave him the object of speculation and secret ridicule amongst many of his classmates,0.9952282204109932
2,a campus tour of marymount university as a high school junior ive already started touring colleges growing up i was always encouraged to explore colleges early i was warned that it is never too early to start but its easy to wait too long and miss out on an opportunity so on a recent october morning i ventured out with my family to attend an open house at marymount university in arlington va my first impression of the campus was that it was too urban for my taste but the overall environment felt calming i generally prefer a more rural community with a small city nearby however the farmers market did stand out to me the weekly event made it feel like marymount has a close knit community and a small town vibe during the beginning of the session many current marymount students admission staff and professors were available to answer questions and provide information with prospective students i was glad i was able to talk to a professor in my desired major i was curious to know how many majors and minors an average marymount student can handle and what the qualifications are for becoming a psychiatrist since marymount is a smaller sized school with only 2300 students in attendance more frequent interactions with faculty might be possible than at a larger university after the information session we were divided into groups and a current marymount student led us on a campus tour,0.9999223756715072
3,a look into the life of hylton quarterback jordan davis jordan davis is a senior at hylton he was born in germany and is 18 years old he has been playing football and basketball since he was four years old in ohio but has expressed that he loves football more and wants to play in college he still plays basketball because he enjoys it as well when someone plays various sports for a lengthy period of time like davis injuries are almost inevitable davis was just a tiny six year old when he was stepped on by the ref during a game breaking his collarbone he has experienced numerous injuries like broken arms sprained ankles and concussions when asked why he plays such a dangerous sport he said i was just so young when i started playing i never thought of it being dangerous davis has been playing for hylton since freshman year his positions are safety and quarterback after four years you build great chemistry and they become more like family rather than just teammates said davis everyone is there for each other were like a brotherhood not only being there on the field but off the field as well helping with school work family issues anything said davis before each game davis prepares by watching film on the other team and envisioning the plays hell make during the game,0.996573667453565
4,drasovean and schuetze shine on the hylton runway the annual prom fashion show at hylton occurs once a year during all lunch shifts and is something the students look forward to typically the students within the fashion marketing class organize the show and students outside of the class audition for their chance to walk down the runway however this year two hylton students monica drasovean and alyssa schuetze were excited to accept an invitation to join the show to display prom trends for the upcoming season at the fashion show the normal commons are transformed to a cheer filled runway that provides an opportunity for hyltons diverse students to experience a high energy fashion show with a few weeks to prepare both monica and alyssa went out and found the perfect dresses to make their runway debut in monica found her purple dress at ross and alyssas friend let her borrow a white dress they were both looking forward to getting dressed up and strutting down the runway senior olivia gale was particularly happy to coordinate and help with getting monica and alyssa prepared for their big day olivia was the person who brought the idea to the table saying i thought it would be cool to incorporate them in something they dont normally do i wanted to see a wider representation of all that hylton encompasses said olivia,0.9996183161840669
5,not all college decisions are permanent at seventeen we are supposed to make one of the biggest decisions of our lives choosing where to go to college we are supposed to know where we want to live study and deal with the cost of college all while we are still kids our whole lives we are told college will be the best four years of our life spoiler alert they might not be more than one in three college students transfer at least once within six years according to inside higher ed students decide to transfer schools for a variety of reasons cost is one of the biggest reasons students decide to switch schools the united states is the sixth most expensive country in the world to go to college according to business insider the us is 148 trillion dollars in student loan debt with 442 millions americans with student loans in the us the average amount of money students owe is 31100 per borrower when they graduate in virginia the amount of money they owe after graduating is 27717 dollars students are now weighing the opportunity cost and thinking about how student loan debt might affect their post college financial stability student loan debt can limit individuals from pursing their dreams after college loan payments might make it difficult to afford housing costs students can use repayment options like income based payment which is when you pay based on your salary,0.9999320273753904
6,the dakota pipeline needs to pipe down the dakota pipeline developers should be ashamed of themselves building on sacred land promised to the native americans by the government is very disrespectful and shows that these people do not care about who they hurt the dakota pipeline is an underground pipeline system made to assist in transporting oil across the country it is part of the bakken system which begins in north dakota and runs to patoka illinois its developers dakota access llc and phillips 66 state that the pipeline will bring more jobs to the area and be a safer way to transport oil compared to rail or truck according to the dakota access pipeline website landownersdaplpipelinefactscom the ironic part of all of this is that the standing rock sioux reservation was not the original site for the pipeline according to a permit filed by dakota access llc it was supposed to go through bismarck north dakota the location was changed because the us army corps of engineers felt that it was too close to one of the citys water supply wells and could pose a threat if it was considered a threat in bismarck why was that same precaution not taken when it was rerouted towards the standing rock sioux land people live and drink there too the biggest concern was what would happen if an oil spill occured,0.9962549730725818
7,hylton students commemorate victims of school shootings hylton students commemorated the victims of school shootings during a moment of silence on march 14 at 1000 am a banner was also set up in the commons on monday march 12 to give students an opportunity to sign and write a note to students and staff in parkland at the end of the week the banner will be sent to marjory stoneman douglas high school these were the only student planned activities approved by administration for march 14 principal david cassady told student leaders in a meeting on feb 27 that student safety was his primary concern in a statement read to students on march 13 principal cassady said we are asking that all students participate in the already planned activities for hylton hs on march 14 and april 20 this will minimize classroom disruptions and give students a safe environment to participate and have their voices heard on both dates despite the planned and approved observances some students walked out of class following the moment of silence some chanted never again and enough is enough students who left class were marked absent from that class and were marked tardy if they arrived late to their next class senior silas sneed said im extremely proud of my peers for voicing their opinions even though we may not agree all the time im proud that we can come together and exercise our 1st amendment when student council officers met with principal cassady the group agreed to a moment of silence on march 14 the onemonth anniversary of the parkland shooting,0.9998233111700543
8,homecoming lookbook 2018 student council sponsored homecoming was held on october 20th all hylton students could participate and they came together to celebrate homecoming with isata and samuel being crowned homecoming king and queen the night before the bulldogs had won the homecoming football game against battlefield 16 to 13,0.9952450979189426
9,sophomore shines in win over bruins on jan 19 the bulldogs beat the forest park bruins 46 39 the bulldogs were led by sophomore standout jack dolan dolan led the team with 17 points and connecting from beyond the three point arc four times senior marcus stephens was a clear leader on defense with four blocks getting the dawg pound on their feet dolan has received an increase in his role from last year according to maxprepps dolan averaged one point per game last year since he has become a starter he has improved his scoring to 95 points per game this was dolans first game back from being out with a concussion and during his time away from play he worked on his shot his play was evident that his work payed off dolan said he just found a rhythm tonight and that he wanted to do whatever he could to help the team win dolan wanted to emphasize how it was a team win just glad we had a lot of help off the bench and that everyone was able to contribute said dolan after a successful night its right back to the gym for dolan going back to the shooting coach tomorrow to keep this up hyltons boys basketball team will suit up again on jan 23 at freedom high school,0.9983095102759596
